PATA Number,PATA Description,Condition,PATA Series,PATA Series Description,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,sign_7,sign_8,sign_count_1,sign_count_2,sign_count_3,sign_count_4,sign_count_5,sign_count_6,sign_count_7,sign_count_8,blight_red_count
101-A,Single­Lane Approach - No Roadway Encroachment,Work on or Beyond the Shoulder,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,1,,,,,,,,
101-B,Multi­Lane Approach - Right Shoulder Work - No Roadway Encroachment,Work on or Beyond the Shoulder,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,1,,,,,,,,
101-C,Multi­Lane Approach - Left Shoulder Work - No Roadway Encroachment,Work on or Beyond the Shoulder,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,1,,,,,,,,
102,Single­Lane Approach - Shoulder Work With Minor Roadway Encroachment,Work on or Beyond the Shoulder,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,1,,,,,,,,
103,Single Lane Approach - Shoulder Work With Major Roadway Encroachment,Work on or Beyond the Shoulder,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W5-5,,,,,,,1,1,,,,,,,
104,Work Space on Roadway Center Line,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W5-5,R4-7,,,,,,2,2,2,,,,,,
105,Work Space in the Center of an Intersection,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W5-5,R4-7,R3-2,,,,,3,3,3,3,,,,,
106,Work in Single­Lane and Center Line -T wo Flaggers,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,,,,,,2,2,2,,,,,,
107,Work in One­Lane -T wo Flaggers,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,,,,,,2,2,2,,,,,,
108,Work in Single­Lane - One Flagger,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,,,,,,2,2,2,,,,,,
111,Self-Regulating Stop Control,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,R1-1,W20-4,W3-1,R1-1,,,,2,2,1,2,2,,,,2
117,Work in One­Lane with Pilot Vehicle ­ Two Flaggers,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,G20-4,,,,,,,,,,,,,
118,Self-Regulating Lane Shift into Opposing Lane,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,,,,,,,,,
120,Work in Adjacent Lanes with Opposing Traffic -T wo Flaggers,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,W20-5L,W4-2L,W1-4R,,,,,,,,,,,
121,Self-Regulating Lane Shift into Center Left-Turn Lane,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W9-3,,,,,,,,,,,,,,,
122,Work in Center Left-Turn Lane,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W9-3,,,,,,,,,,,,,,,
131,Work within One Quadrant of a Roundabout,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W3-4,W20-7,W12-1,,,,,,,,,,,,,
132,Work on One Leg Entering a Roundabout,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W3-4,W20-7,W12-1,R4-7,,,,,,,,,,,,
133,Work on One Leg Exiting a Roundabout,Work on Single­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W3-4,W20-7,W12-1,R4-7,,,,,,,,,,,,
119,"Work in Two Lanes, Same Direction-T wo Flaggers",Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,,,,,,,,,,,,,,
123-A,Work in Right Lane ­ Undivided Highway,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5R,W4-2R,,,,,,,,,,,,,,
123-B,Work in Left Lane ­ Undivided Highway,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,,,,,,,,,,,,,,
124,"Work in Two Lanes, Same Direction (Lane Shift into Opposing Lane)",Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W4-2L,W4-2R,W20-5L,W20-5R,W1-4L,W1-4R,,,,,,,,,,
125-A,Work in Right Lane - Divided Highway,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5R,W4-2R,,,,,,,,,,,,,,
125-B,Work in Left Lane - Divided Highway,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,,,,,,,,,,,,,,
126-A,Work in Right Lane and on Lane Line,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5R,W4-2R,W5-5,,,,,,,,,,,,,
126-B,Work in Left Lane and on Lane Line,Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5L,W4-2L,W5-5,,,,,,,,,,,,,
127-A,Work in Right Two Lanes (Lane Shift into Adjacent Lane),Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5AR,W4-2R,,,,,,,,,,,,,,
127-B,Work in Left Two Lanes (Lane Shift into Adjacent Lane),Work on Multi­Lane Approach,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-5AL,W4-2L,,,,,,,,,,,,,,
116-A,Standard Orange Detour Signs,Road Closure with Detour,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-2,R11-4,W20-3,R11-2,,,,,,,,,,,,,
116-B,Red Arrow Detour Signs (ADT <1500),Road Closure with Detour,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
128,Sidewalk Closed with Pedestrian Detour,Work Space Located on Sidewalks,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,R9-9,,,,,,,,,,,,,,,
129,Sidewalk Closed with Pedestrian Diversion,Work Space Located on Sidewalks,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,,,,,,,,,,,,,,,,
130,Sidewalk and Crosswalk Closure with Pedestrian Detour,Work Space Located on Sidewalks,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W11-2,W16-7P,W16-9P,R9-9,R9-10,R9-11a,,,,,,,,,,
109-A,Approaching a Stop Sign - Two Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-B,Approaching a Stop Sign - Three Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-C,Approaching All-way Stop - Two Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-D,Approaching All-way Stop - Three Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-E,Approaching Traffic Signal - Two Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-F,Approaching Traffic Signal - Three Flaggers,Lane Closure Ending at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-G,Departing the Intersection - Two Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-H,Departing the Intersection - Three Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-I,Departing an All-way Stop - Two Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-J,Departing an All-way Stop - Three Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-K,Departing a Traffic Signal - Two Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
109-L,Departing a Traffic Signal - Three Flaggers,Lane Closure Beginning at a T-Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-A,Approaching an Intersection with Stop Signs on Side Roads - Two Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-B,Approaching an Intersection with Stop Signs on Side Roads - Four Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-C,Approaching an Intersection with Uncontrolled Side Roads - Two Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-D,Approaching an Intersection with Uncontrolled Side Roads - Four Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-E,Approaching an All-Way Stop Intersection - Two Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-F,Approaching an All-Way Stop Intersection - Four Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-G,Approaching a Yellow Flashing Traffic Signal - Two Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-H,Approaching a Yellow Flashing Traffic Signal - Four Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-I,Approaching a Red Flashing Traffic Signal - Two Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-J,Approaching a Red Flashing Traffic Signal - Four Flaggers,Lane Closure Ending at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-K,Departing an Intersection with Stop Signs on Side Roads - Two Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-L,Departing an Intersection with Stop Signs on Side Roads - Four Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-M,Departing an Intersection with Uncontrolled Side Roads - Two Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-N,Departing an Intersection with Uncontrolled Side Roads - Four Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-O,Departing an All-Way Stop Intersection - Two Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-P,Departing an All-Way Stop Intersection - Four Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-Q,Departing a Yellow Flashing Traffic Signal - Two Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-R,Departing a Yellow Flashing Traffic Signal - Four Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-S,Departing a Red Flashing Traffic Signal - Two Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
110-T,Departing a Red Flashing Traffic Signal - Four Flaggers,Lane Closure Beginning at a 4-Way Intersection,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
112,"Flagger on Closed Lane Approach, AFAD at Other End",Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,W1-4R,W3-4,R10-6AL,,,,,,,,,,,
113,"AFAD on Closed Lane Approach, Flagger at Other End",Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W20-7,W3-4,R10-6AL,,,,,,,,,,,,
114,AFADs with Two Operators,Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,W20-1,W20-4,W1-4R,W3-4,R10-6AL,,,,,,,,,,,,
115,AFADs with One Operator,Flagger Control with AFAD,PATA 100 Series Index,Short-Term Stationary Operations on Conventional Highways,,,,,,,,,,,,,,,,,
201-A,Single-Lane Approach,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
201-B,Multi-Lane Approach - Right Shoulder,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
201-C,Multi-Lane Approach - Left Shoulder,Work Beyond the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,G20-2,,,,,,,,,,,,,,,
202-A,Single-Lane Approach,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BR,G20-2,,,,,,,,,,,,,
202-B,Multi-Lane Approach - Right Shoulder,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BR,G20-2,,,,,,,,,,,,,
202-C,Multi-Lane Approach - Left Shoulder,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W21-5,W21-5BL,G20-2,,,,,,,,,,,,,
203,Single-Lane Approach With Roadway Encroachment,Work on the Shoulder,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W5-5,W14-3,G20-2,,,,,,,,,,,,,
204,Work Space in Center of Roadway,Work on a Single-Lane Approach,PATA 200 Series Index,Long-Term Stationary Operations on Conventional Highways,W20-1,W5-5,W14-3,G20-2,R4-7,,,,,,,,,,,,
